Symbol,Frequency
 ,0.09580349859512372
O,0.08562192211245052
A,0.07522885887791173
I,0.07238889392428774
E,0.06821958367322276
R,0.045741563189220215
T,0.044472642678026524
N,0.04247862473186501
H,0.04208586362125744
U,0.04066588114444545
G,0.0395178102057464
S,0.03314299525665428
L,0.032810658932294026
B,0.032387685428562796
D,0.03136046406235838
P,0.031209402096740082
C,0.029849844406175413
Y,0.027976676032508536
F,0.027976676032508536
W,0.023172905525846704
K,0.02181334783528203
M,0.019819329889120517
V,0.014864497416840388
J,0.006405027342215777
Z,0.004169310251064987
X,0.003534849995468141
Q,0.0035046376023444817
-,0.0019638055530378563
',0.0012387081180700323
&,0.0005438230762258679
?,3.0212393123659326e-05
